	S0	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S40	S41	S42	S43	S44	S45	S46	S47	S48	S49
X11	5	5	5	4	4	5	2	2	7	2	3	2	6	1	4	4	3	5	1	3	4	6	1	4	6	4	1	2	3	6	5	3	6	1	3	7	6	1	3	6	2	5	6	2	4	2	1	1	5	3
X12		6	4	3	3	5	4	1	7	1	2	3	6	1	4	4	4	5	1	3	4	5	1	3	6	5	1	2	4	6	5	2	5	2	3	7	6	2	2	6	3	6	6	3	5	2	1	1	4	2
X13	6		5	4	4	5	3	2	6	2	2	3	5	1	4	4	3	5	1	3	4	5	1	4	6	4	1	2	3	6	5	2	6	1	3	7	5	1	3	6	2	6	7	2	5	2	1	1	4	3
X14	5	6	5	2	3	5	3	2	6	1	3	2	6	1	5	3	4	5	1	4	4	5	1	4	7	4	1	2	3	6	5	2	6	1	3	7	6	2	3	5	2	6	6	2	4	3	1	1	4	4
X15	6	5	4	3	4	5	2	2	6	1	3	2	6	1	5	3	3	5	1	3	4	5	1	4	7	5	1	2	4	6	5	2	6	2	4	7	6	1	2	6	2	5	6	3	4	3	1	1	4	3
X16	5	6	5	2	4	5	3	1	6	2	2	2	6	1	4	3	4	5	1	3	3	6	1	4	7	4	1	2	4	6	4	3	5	2	3	7	6	1	2	5	4	6	6	3	5	2	1	1	5	3
X17	5	6	4	2	4	5	3	2	6	2	2	2	6	1	4	4	3	5	1	3	3	5	1	5	7	4	1	1	4	6	4	3	6	1	3	6	6	1	2	6	3	5	7	2	5	3	2	1	5	4
X18	5	6	5	3	4	5	3	2	6	1	3	4	6	1	4	3	4	5	1	4	4	5	1	5	7	5	1	2	3	6	4	2	5	2	3	6	6	1	3	6	2	6	7	2	4	2	1	1	3	2
X19	5	6	5	2	3	5	3	2	7	2	2	3	6	1	4	4	3	5	1	4	3	6	1	4	7	5	1	2	4	6	4	2	6	1	3	6	6	1	3	6	2	5	5	3	5	2	1	1	4	4
X20	5		5	4	3	5	2	2	7	1	2	3	6	1	5	3	3	5	1	3	4	6	1	4	7	4	2	2	4	6	5	3	5	1	4	6	6	1	2	5	3	6	6	2	4	3	1	1	4	2
X21	5	5	5	2	3	4	2	2	6	2	2	3	5	1	5	4	4	6	1	3	3	6	1	4	7	5	1	1	3	6	4	2	6	1	4	6	6	1	3	6	3	5	7	3	5	2	1	2	4	4
X22	5	6	5	4	3	5	2	2	6	2	2	3	6	1	4	2	4	6	1	3	4	5	1	4	7	4	1	1	5	6	5	3	5	1	4	7	6	1	3	6	2	5	6	2	4	3	2	1	3	3
X23	5	6	5	3	3	5	2	2	6	1	2	3	6	1	5	4	4	5	1	3	4	5	1	3	7	4	1	2	4	6	5	3	5	2	2	6	6	1	2	6	3	6	7	3	4	2	1	1	4	4
X24	6	6	5	2	3	5	3	1	6	1	2	2	6	1	5	3	3	5	1	4	4	5	1	4	7	4	2	2	4	5	4	3	6	2	3	7	6	1	3	5	2	6	6	2	5	3	1	1	4	4
X25		6	5	2	3	5	3	2	6	1	2	2	6	1	4	4	3	5	1	4	4	5	1	5	7	4	1	2	4	6	4	3	6	2	3	7	6	1	3	6	2	5	6	2	5	3	1	1	3	4
X26	5	6	5	3	4	5	2	2	6	1	2	3	5	1	4	3	4	5	1	3	4	5	2	3	7	4	1	1	4	6	5	3	6	2	2	7	6	1	2	6	3	6	6	2	5	3	1	1	4	4
X27	5	6	5	4	3	6	3	1	7	2	3	3	6	1	4	3	3	5	1	2	2	5	1	3	7	5	1	2	4	6	4	2	6	2	4	6	6	1	2	5	4	5	6	2	5	3	1	1	4	4
X28	5	6	4	3	4	5	2	2	7	2	2	4	6	1	6	4	3	4	1	3	3	5	1	4	7	5	1	1	4	6	5	3	5	2	3	6	6	1	3	5	2	6	6	3	5	2	1	1	4	2
X29	6	5	4	4	3	5	3	2	6	2	2	3	5	1	5	3	3	5	1	4	2	6	1	5	7	5	1	1	4	6	4	2	6	2	2	7	6	1	2	5	3	6	6	3	4	3	1	1	4	4
X30	5	5	5	3	4	5	4	1	6	1	2	3	6	1	5	3	3	6	1	3	4	5	1	4	7	4	1	2	4	6	5	2	6	2	3	7	6	1	2	5	2	6	6	2	4	3	2	1	4	3
X31	5	6	5	4	3	5	4	1	6	2	2	3	6	1	4	3	4	5	1	4	3	5	1	4	7	4	1	2	3	6	5	2	6	2	2	6	6	1	2	5	2	6	7	3	5	3	1	1	4	3
X32	6	6	5	4	4	5	2	2	7	2	2	3	6	1	5	4	3	4	1	3	4	5	1	4	7	5	1	2	3	6	4	3	5	1	2	6	6	1	3	5	3	6	6	2	5	3	1	1	4	2
X33	5	6	5	3	4	5	2	2	6	2	3	3	5	1	4	4	4	5	1	3	4	5	1	3	7	4	2	1	4	6	5	3	6	1	3	6	6	1	2	6	2	6	7	2	5	3	1	1	4	2
X34	5	6	4	3	3	6	2	1	6	2	2	3	6	1	5	4	3	5	1	3	4	5	1	4	7	4	2	1	4	5	4	2	6	2	4	6	6	1	3	6	2	5	7	2	5	3	1	1	5	3
X35	5	6	4	3	4	5	3	2	6	2	2	2	6	1	5	4	3	6	1	3	3	6	1	4	7	4	1	2	4	5	5	2	6	1	3	7	6	1	4	5	3	5	6	2	5	2	1	1	4	3
X36	6	6	5	3	4	5	2	2	6	1	3	4	6	1	4	3	3	5	1	3	4	5	1	4	7	4	1	2	4	5	5	2	6	2	3	6	7	1	2	5	3	6	6	2	5	2	1	1	4	3
X37	6	6	4	3	4	5	2	2	6	2	3	3	6	1	5	3	4	5	1	4	3	5	1	4	7	4	1	2	4	6	5	2	5	1	2	7	6	1	3	6	2	5	6	3	5	3	1	1	4	2
X38	5	6	5	3	4	5	2	1	6	1	2	3	6	1	5	3	3	5	1	4	4	6	1	4	7	5	2	2	4	6	4	3	7	2	2	6	6	1	2	5	3	5	6	3	4	2	1	1	4	3
X39	2	4	3	3	6	1	4	6	3	6	5	4	7	4	4	5	4	6	2	4	3	5	5	3	6	1	5	5	2	1	2	1	6	1	6	6	7	2	1	2	2	1	3	3	1	4	2	5	3	5
X40	1	3	3	3	6	1	4	6	3	5	5	3	7	5	3	5	4	6	3	3	4	4	5	4	6	1	5	5	2	1	2	1	6	1	6	5	7	1	2	2	2	1	4	2	2	4	2	6	4	6
X41	1	3	3	3	6	1	4	6	4	5	5	2	6	4	4	4	5	6	3	4	4	5	5	3	6	1	5	6	2	1	1	1	6	1	7	5	7	2	2	2	2	1	3	2	2	3	4	6	3	5
X42	2	5	3	4	6	1	4	6	3	5	5	4	7	4	3	4	4	6	2	3	5	3	5	3	6	1	5	5	2	1	2	1	6	1	6	6	7	1	2	2	2	1	3	3	1	4	2	6	4	5
X43	1	4	2	3	6	1	5	6	2	5	5	3	6	3	4	3	4	6	2	4	4	5	5	4	6	1	5	5	2	1	1	2	6	1	7	6	7	2	1	2	3	1	4	3	2	3	3	5	4	6
X44	2	3	2	4	6	1	4	6	3	5	5	2	6	4	3	5	5	6	2	3	4	3	5	4	6	1	5	5	2	1	1	1	6	1	6	6	7	2	2	1	3	1	4	3	2	4	3	7	4	5
X45	2	4	2	3	6	1	4	5	2	5	6	3	7	4	4	4	5	6	2	3	4	3	5	3	6	1	6	5	3	1	2	1	6	1	6	5	7	2	1	2	3	1	4	2	1	4	3	6	5	5
X46	2	5	2	4	6	1	4	6	4	5	5	2	7	5	4	4	4	6	3	4	3	4	5	3	6	2	5	5	2	1	1	1	6	1	6	6	7	1	2	3	2	1	3	3	1	3	2	6	3	5
X47	1	5	3	4	7	1	4	5	3	5	5	2	6	4	4	4	4	6	2	3	5	4	5	2	6	1	5	6	2	1	2	1	6	1	6	6	7	2	2	2	3	1	3	3	1	4	3	6	3	5
X48	1	5	2	3	7	1	5	6	3	5	5	3	6	5	3	4	4	6	2	4	4	3	4	3	6	1	5	5	2	1	2	2	6	1	5	6	7	2	1	3	2	1	4	4	1	3	2	6	4	6
X49	1	4	3	4	6	1	4	5	3	5	5	3	6	5	4	3	5	5	2	3	4	4	6	3	6	1	6	5	2	1	1	2	7	1	6	6	7	2	2	2	2	1	3	2	1	4	3	6	4	5
X50	1	3	2	3	6	1	4	6	3	5	5	2	6	5	4	4	4	6	3	3	4	4	6	3	6	1	5	5	2	1	2	1	7	1	6	5	7	2	2	1	3	1	4	2	2	4	3	6	5	5
X51	2	3	2	4	6	1	4	6	3	5	5	3	6	4	3	3	4	6	2	3	5	5	5	4	6	1	5	5	2	1	2	1	7	1	6	6	7	2	1	3	2	1	4	2	1	4	3	6	4	5
X52	2	3	2	4	6	1	3	6	4	5	5	3	7	4	4	4	5	6	2	5	4	3	5	3	6	1	5	6	3	1	2	2	6	1	5	5	7	1	2	1	2	1	3	3	1	4	2	6	4	6
X53	2	4	2	3	7	1	5	6	3	5	5	3	6	4	3	4	5	6	2	4	4	4	5	4	5	1	5	6	3	1	2	1	6	1	6	6	7	1	2	2	2	1	3	3	1	3	2	6	4	5
X54	2	4	2	4	6	1	5	6	3	4	5	3	6	5	3	5	4	6	3	4	4	3	5	2	6	1	5	5	3	1	1	2	6	1	6	6	7	1	1	2	2	1	3	2	2	4	3	7	4	5
X55	1	5	2	3	7	1	5	5	2	5	4	3	6	4	4	5	5	6	2	4	3	4	4	3	6	1	6	5	2	1	2	2	6	1	6	5	7	1	2	2	3	1	4	3	1	3	3	6	4	6
X56	2	4	3	3	6	1	4	6	3	5	5	2	7	4	4	4	5	6	2	4	5	4	5	2	6	1	5	6	3	1	1	2	6	1	6	5	7	1	1	2	3	1	4	2	2	3	3	6	3	5
X57	1	4	2	3	7	1	5	6	3	5	5	4	6	4	3	4	4	5	3	3	5	3	5	2	6	1	5	5	2	1	2	1	6	1	6	6	7	2	1	2	3	1	4	3	2	4	2	6	4	6
X58	1	4	2	3	6	1	4	6	3	6	5	3	6	4	4	4	5	6	2	5	3	4	5	3	5	1	5	5	2	1	2	1	6	1	6	5	7	1	2	3	2	1	4	2	2	3	3	7	4	6
X59	2	4	3	3	6	1	4	6	2	5	5	3	6	5	3	3	4	6	2	3	5	4	5	4	6	1	5	5	2	1	2	1	7	1	6	6	7	1	2	2	2	1	4	4	1	3	3	6	4	5
X60	1	3	2	4	6	1	5	5	2	5	5	4	6	5	3	4	4	6	2	4	4	3	5	4	6	1	5	6	2	1	3	1	7	1	6	5	7	1	2	2	2	1	4	3	2	3	3	6	3	6
X61	2	4	3	4	6	1	5	6	2	5	5	3	7	4	4	5	4	6	2	4	4	3	5	3	6	1	5	5	2	1	2	1	6	1	6	5	7	1	2	2	3	1	4	2	1	3	3	6	3	6
X62	1	4	3	4	6	1	4	5	3	5	5	2	7	5	4	4	4	6	2	3	4	5	6	3	6	1	5	5	2	1	1	1	6	1	6	5	7	2	2	2	3	1	3	3	2	3	2	6	4	6
X63	2	4	2	3	6	1	4	6	3	5	4	3	7	5	4	4	4	5	3	3	5	5	5	4	6	1	4	6	2	1	2	1	6	1	6	5	7	1	2	2	2	1	3	2	1	3	3	6	5	6
X64	2	5	3	4	6	1	4	6	3	5	5	3	6	4	2	4	3	6	2	4	5	3	5	3	6	1	5	5	2	1	2	1	7	1	6	5	7	1	2	2	3	1	4	2	1	3	4	6	4	6
X65	1	3	2	3	6	1	5	6	3	5	5	3	6	4	4	4	5	6	2	4	4	3	5	3	6	1	5	5	2	1	2	1	7	1	6	5	7	2	2	2	4	1	3	2	1	3	4	6	4	6
X66	1	3	2	4	6	1	5	6	3	5	4	3	6	3	4	5	4	6	3	4	4	3	5	4	6	1	5	5	2	1	1	2	6	1	7	6	7	1	2	2	2	1	4	2	3	3	2	6	5	5
X67	2	5	2	4	6	1	4	6	3	5	5	3	6	4	3	4	4	5	2	4	3	5	5	3	6	1	5	5	3	1	2	1	7	1	6	6	7	2	2	1	4	1	4	2	1	3	2	6	3	6
X68	1	3	2	3	6	1	5	5	3	5	5	4	7	4	4	5	4	6	2	3	3	4	5	4	6	1	6	6	2	1	2	1	6	1	5	5	7	2	2	3	2	1	3	2	1	4	3	6	4	6
X69	1	5	2	4	6	1	4	5	3	5	6	3	6	4	4	4	5	6	2	4	4	4	5	3	6	1	5	5	2	1	2	1	7	1	6	6	7	2	2	2	3	1	3	3	1	3	2	6	3	5
X70	2	4	2	4	6	1	5	6	3	5	5	2	6	4	3	4	4	6	3	3	4	5	6	4	5	1	5	5	2	1	2	1	7	1	6	5	7	1	1	2	4	1	3	2	2	3	3	6	3	6
X71	1	4	3	3	6	1	5	6	3	5	5	3	6	4	2	5	4	6	3	4	4	4	5	2	6	2	5	5	2	1	2	1	7	1	6	5	7	1	1	2	3	1	3	3	2	4	2	6	4	6
X72	1	4	3	3	6	1	5	6	2	5	5	4	6	4	3	4	5	6	3	4	4	3	6	3	6	1	5	5	2	1	2	1	7	1	6	5	7	1	2	2	3	1	3	2	2	4	2	6	4	5
X73	2	4	2	4	6	1	4	6	4	5	5	3	6	5	3	4	4	7	3	3	5	3	5	3	6	1	5	5	3	1	2	1	6	1	6	6	7	1	2	2	2	1	4	3	1	2	2	6	4	5
X74	1	4	3	4	6	1	5	6	4	5	5	3	6	4	3	3	5	5	2	4	3	4	5	4	6	1	5	5	2	1	2	1	6	1	6	6	7	1	2	2	2	1	3	2	2	3	3	7	4	6
X75	1	3	3	4	6	1	4	6	3	6	5	3	7	5	3	4	4	6	2	4	5	3	5	3	6	1	5	6	3	1	1	1	6	1	5	5	7	2	2	2	2	1	4	2	2	4	2	6	4	5
X76	1	4	2	3	6	1	5	6	2	5	5	2	7	4	4	5	4	6	2	4	4	4	5	3	6	1	5	6	3	1	1	1	6	1	6	5	7	2	2	3	2	1	3	3	2	4	3	6	3	5
X77	2	4	3	3	6	1	4	6	3	5	5	3	7	5	3	4	5	6	2	4	4	4	5	3	6	1	5	5	2	1	2	1	6	1	6	5	7	1	1	2	3	1	4	2	2	4	2	6	3	6
X78	5	3	4	6	5	5	4	1	1	6	3	7	5	3	1	2	6	1	2	2	1	3	2	1	5	5	4	4	1	6	3	2	5	1	4	4	3	6	6	5	7	2	3	2	4	6	3	4	6	2
X79	6	3	3	4	5	4	4	1	1	6	3	7	5	3	1	1	6	1	2	2	1	3	3	1	6	6	4	5	2	6	2	2	5	1	5	4	4	4	6	5	7	2	3	2	3	6	4	5	5	2
X80	5	4	3	6	5	5	3	1	1	6	3	7	4	4	2	1	6	1	2	2	1	3	2	2	5	6	4	6	1	6	2	2	5	1	4	4	4	5	5	5	7	3	2	3	3	6	3	4	6	1
X81	5	3	4	6	5	4	3	1	1	6	2	7	5	4	1	1	6	1	2	2	1	3	3	2	5	6	4	5	2	6	2	1	4	1	4	5	3	4	5	6	7	2	3	3	3	6	4	5	6	2
X82	5	3	4	6	4	6	5	1	1	6	3	7	5	4	1	2	6	1	1	2	1	3	2	2	5	4	3	4	2	5	2	3	5	1	4	4	3	6	6	5	7	2	3	2	3	6	4	5	6	1
X83	5	3	4	6	5	4	3	1	1	6	3	7	4	4	1	1	6	1	2	3	1	2	2	2	5	5	3	4	2	6	2	2	5	1	4	5	5	4	5	6	7	2	3	3	4	6	3	6	6	1
X84	5	3	3	6	5	4	3	1	1	6	2	7	6	3	1	1	6	1	3	2	1	3	2	2	5	6	4	4	2	6	3	2	4	1	4	5	4	5	5	5	7	2	4	2	4	6	3	5	6	1
X85	6	3	3	6	4	5	4	1	1	6	3	7	4	4	1	1	6	1	2	2	1	3	3	2	6	5	3	4	1	6	2	2	4	2	5	5	4	4	5	5	7	3	3	2	5	6	2	5	6	1
X86	4	3	3	6	4	5	3	1	1	6	2	7	5	4	2	1	6	1	2	3	1	3	3	1	5	5	3	5	1	6	2	2	4	1	4	4	5	6	6	5	7	2	4	2	4	6	3	5	6	2
X87	5	4	5	5	4	5	4	1	1	6	3	7	4	3	1	2	6	1	2	2	1	3	2	1	6	4	3	6	1	6	3	2	4	2	5	4	5	4	5	6	7	2	3	2	3	6	3	5	6	1
X88	6	3	3	6	5	5	4	1	1	6	3	7	4	4	1	2	6	1	2	1	1	3	2	1	4	5	3	6	2	6	2	2	5	2	4	5	5	4	5	6	7	2	4	3	3	5	3	4	6	1
X89	6	3	3	5	5	4	3	1	1	6	3	7	4	4	1	1	6	1	2	2	1	3	3	2	6	5	3	5	2	6	2	2	4	1	5	4	4	5	5	6	7	2	4	2	4	6	3	5	6	1
X90	5	3	4	6	4	4	3	1	1	6	3	7	4	3	1	1	6	1	2	2	1	3	2	2	5	4	3	6	2	6	3	2	5	1	5	5	4	5	5	6	7	2	3	2	4	6	4	5	6	1
X91	5	3	3	5	4	5	4	1	1	6	3	7	4	3	2	2	6	1	2	2	1	3	2	1	6	5	3	6	1	6	2	1	4	2	5	5	4	4	6	5	7	2	3	3	4	6	4	5	6	1
X92	6	4	3	5	3	5	3	1	1	6	3	7	4	4	2	1	6	1	2	2	1	4	2	2	5	6	3	4	1	5	2	3	5	1	5	4	4	5	6	5	7	2	4	2	3	6	3	6	6	1
X93	5	4	3	6	5	5	5	1	1	6	2	7	5	3	1	1	6	1	2	2	1	3	3	1	5	5	4	4	2	6	2	2	4	2	4	4	4	4	5	6	7	2	3	3	3	6	3	6	6	1
X94	6	3	4	5	5	5	4	1	1	6	3	7	5	3	1	2	6	1	1	2	1	2	2	2	5	4	3	5	2	6	3	1	3	1	5	4	4	4	5	6	7	3	4	2	4	6	3	6	6	2
X95	5	3	4	6	5	5	4	1	1	6	2	7	5	3	1	2	6	1	2	2	1	3	2	1	5	6	3	4	2	6	2	3	4	1	5	4	4	4	5	5	7	2	3	3	4	6	3	6	6	1
X96	5	4	4	6	5	3	3	1	1	6	2	7	4	3	1	1	6	1	2	3	1	3	3	2	6	4	3	6	1	6	2	2	4	2	5	5	5	4	5	5	7	2	3	2	4	6	4	5	6	1
X97	6	4	3	5	5	4	5	1	1	6	2	7	4	4	1	1	6	1	2	2	1	3	2	2	5	5	3	4	1	6	2	2	4	1	6	3	5	4	6	5	7	3	3	3	3	6	4	5	6	2
X98	6	4	3	6	5	4	4	1	1	6	2	7	5	4	1	2	6	1	2	2	1	3	3	2	4	4	3	6	1	6	3	2	5	1	4	5	4	5	5	6	7	2	3	2	3	5	3	5	6	1
X99	6	3	4	5	5	5	3	1	1	6	3	7	4	3	2	1	6	1	2	2	1	3	2	2	6	5	4	4	1	5	2	2	4	1	4	4	5	5	5	6	7	2	3	3	4	6	3	6	6	1
